Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Hillerman, Tony",The First Eagle,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61097853,1998,,319,
"Hornbacher, Marya",Wasted,Harper Perennial,Fair,No Jacket,Soft Cover,Self Help,1.40E+14,1998,,298,
"Howard, Alice and Walden",Exploring the Road Less Traveled,Simon & Schuster,Very Good,No Jacket,Soft Cover,Self Help,671620541,1998,,187,
"Jacobs, Gregg D., PH.D",Say Goodnight to Insomnia,Henry Holt and Co.,Fine,No Jacket,Soft Cover,Medical,9.78E+12,1998,,319,
"James, Bill","Top Banana, A Harpur & Iles Mystery",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1998,,,
"Jance, J. A.",Rattlesnake Crossing,Avon,As New,Fine,Hard Cover,Mystery,380974991,1998,First Edition,371,
"Jenson, John A.",Lost & Found,Hyperion,As New,As New,Hard Cover,Self Help,786864818,1998,1st Edition,129,
"Johansen, Iris",The Face of Deception,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553578022,1998,,446,
"Johnstone, William W.",Honor of the Mountain Man,Pinnacle Books,Very Good,No Jacket,Soft Cover,Novel,1.40E+14,1998,1st Edition,288,
Kaminsky Stuart,The Rockford Files: Devils on My Doorstep,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1998,,,
"Kellerman, Faye",Moon Music,Avon Books,As New,No Jacket,Soft Cover,Mystery,0-380-72626-2,1998,,505,
"Kellerman, Jonathan",Billy Straight,Random House,As New,Fine,Hard Cover,Mystery,679459596,1998,First Edition,467,
"Kellerman, Jonathon",Billy Straight,Random House,As New,Fine,Hard Cover,Mystery,679459596,1998,First Edition,467,
"Kent, Steven",Age of Empires,Microsoft,Good,No,Soft Cover,Paperback,0-7356-0569-6,1998,,269,
"Kinkade, Thomas & Spencer, Katherine",Home Song,A Berkley Book,Fair,No Jacket,Soft Cover,Novel,0-425-19183-4,1998,,377,
"Klaver, Kim",The Truth . . . What it Really Takes to Make it in Network Marketing,Max Out Procuctions,Very Good,No Jacket,Soft Cover,Self Help,,1998,,,
"Krensky, Stephen",Arthur Makes the Team,Leapfrog Enterprises,Very Good,No Jacket,Soft Cover,Child's Book,158605130X,1998,,63,
"Krentz, Jayne Ann",Sharp Edges,Pocket Books,As New,Fine,Hard Cover,Mystery,0-671-52310-4,1998,First Edition,320,
"Krentz, Jayne Ann",Sharp Edges,Pocket Star Book,As New,No Jacket,Soft Cover,Novel,671524097,1998,,368,
"Lescroart, John",Mercy Rule,Island Books,As New,No Jacket,Soft Cover,Mystery,0-440-22282-6,1998,,611,
"Lippincott, Catherine Paradiso","Lippincott's Review Series, Pharmacology",Lipponcott,As New,No Jacket,Soft Cover,Education,No ISBN,1998,,636,
"McNaught, Judith",Night Whispers,Pocket Books,As New,Good,Hard Cover,Mystery,671000853,1998,First Edition,381,
"Meltzer, Brad",Dead Even,Warner Vision Books,As New,No Jacket,Soft Cover,Novel,0-446-60733-9,1998,,529,
"Myers, Tamar","Eat, Drink and be Wary",Signet,As New,No Jacket,Soft Cover,Mystery,451192311,1998,,272,
"Myers, Tamar","So Faux, So Good",Signet,As New,No Jacket,Soft Cover,Mystery,0-380-79254-0,1998,,248,
"Myers, Tamar","So Faux, So Good",Avon,As New,No Jacket,Soft Cover,Mystery,380792540,1998,,245,
"Newman, Mark",Mapping the American Promise,Bedford Books,Fine,No Jacket,Hard Cover,Historical,312182422,1998,,136,
"O'Connell, Carol",Judas Child,Jove Books,As New,No Jacket,Soft Cover,Mystery,0-515-12549-0,1998,,510,
"O'Connell, Carol",Judas Child,Jove Books,Good,No Jacket,Soft Cover,Mystery,0-515-12549-0,1998,,420,
"Paradiso, Catherine",Pharmacology,Lippincott,As New,No Jacket,Soft Cover,Education,397553277,1998,,636,
"Patterson, Richard North",No Safe Place,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345404777,1998,,509,
"Preston, Douglas & Child, Lincoln",Reliquary,Tom Doherty,Good,No Jacket,Soft Cover,Thriller,9.78E+12,1998,1st Edition,457,
"Roark, James L.",The American Promise,Bedford St. Martin,As New,No Jacket,Soft Cover,Historical,312111975,1998,,1270,
"Roberts, Les",A Shoot in Cleveland,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1998,,,
"Sanders, Lawrence",Guilty Pleasures,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425166392,1998,,341,
"Sanders, Lawrence",McNally's Puzzle,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425157466,1998,,343,
"Sanders, N. K.",Masterpiecces Oc the Norton Anthology,W. W. Norton & Co.,Good,Good,Soft Cover,Reference,0-39397289-5,1998,,,
"Sandfford, John",Secret Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425168298,1998,,384,
"Sandford, John",The Night Crew,Berkley Books,Very Good,No Jacket,Soft Cover,Mystery,425163385,1998,,355,
"Scott, Willard",Murder Under Blue Skies,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1998,,,
"Shapiro, Randall T.","Symptom Management in Multiple Sclerosis, 3rd Ed.",Demos Medical Publishing,Very Good,No Jacket,Soft Cover,Education,1-888799-22-6,1998,,204,
"Sheldon, Sidney",Tell Me Your Dreams,William Morrow,Poor,As New,Hard Cover,Novel,1568659415,1998,,481,A page torn out of the front of the book
"Siegel, Barry",The Perfect Witness,Ballantine Books,As New,As New,Hard Cover,Mystery,345403075,1998,1st Edition,346,
"Smith, Alexander McCall",No. 1 Ladies Detective Agency,Anchor Books,As New,No Jacket,Soft Cover,Mystery,0-40000-9688-X,1998,,235,
"Smith, Alexander McCall",The No. 1 Ladies' Detective Agency,Anchor Books,Very Good,No Jacket,Soft Cover,Mystery,140009688X,1998,,235,
"Steam, Jess",Edgar Cayce on The Millenium,Warner Books,,No Jacket,Soft Cover,Health,0-446-60840-8,1998,,197,
"Trimble, Irene",The Little Mermaid- The Big Baby,Golden Book,Very Good,No Jacket,Soft Cover,Child's Book,307103404,1998,,,
"Vanzant, Iyanla",In the Meantime,Simon & Schuster,Good,No Jacket,Soft Cover,Non-Fiction,684841363,1998,,326,
"Violette, Ruth Magdalena","Our Torment and Survival of World War II, Germany","Pentland Press, Inc.",As New,As New,Hard Cover,Autobiography,1-57197-109-2,1998,,175,Signed by Author
"Weber, Louis",The Velveteen Rabbit,Publications International Ltd,As New,No Jacket,Soft Cover,Child's Book,785319212,1998,,,
"Weber, Robert",The Aluminum Hatch,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1998,,,
"Winchester, Simon",The Professor and the Madman,Harper Collins,Very Good,No Jacket,Soft Cover,Novel,965792951,1998,,242,
"Winter, Douglas E.",Stephen King The Art of Darkness,A Signet Book,Fair,No Jacket,Soft Cover,Novel,451146123,1998,,327,
"Woodruff, Elvira",Dear Levi,Scholastic,As New,No Jacket,Soft Cover,Child's Book,439056055,1998,,119,
"Woods, Stuart",Orchid Beach,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Novel,61013412,1998,,406,
"Zach, David",Zachronyms,Innovative Futures Press,As New,No Jacket,Soft Cover,Humor,1891630008,1998,1st Edition,127,Signed by Author
" Hoag, Tami",Ashes to Ashes,Bantam Books,Good,No Jacket,Soft Cover,Mystery,553579606,1999,,566,
"Albert, Susan Wittig",Lavender Lies,Berkley Prime Crime,Very Good,Good,Hard Cover,Mystery,425170322,1999,First Edition,306,
"Allen, Conrad",Murder On the Lusitania,Detective Book Club,Poor,No Jacket,Hard Cover,Mystery,None,1999,,,
"Allen, Steve",Murder in Hawaii,Detective Book Club,Very Good,No Jacket,Hard Cover,Advanced Reading Copy (ARC),None,1999,,,
"Allende, Isabel",Daughter of Fortune,Harper Torch,Very Good,No Jacket,Soft Cover,Novel,038082101X,1999,,,
"Baldacci, David",Saving Faith,Warner Vision Books,Very Good,No Jacket,Soft Cover,Mystery,446608890,1999,,,
"Bannister, Jo",The Hireling's Tale (A Castlemere Mystery),Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1999,,,
"Benjilian-Burgy, & Chiquito, Ana Beatriz & Mraz, Susan M.",Caminos,Houghton Miffin Co.,As New,No Jacket,Hard Cover,Spanish,039581538X,1999,,564,
Berger. Paul E. & Stephanie Mensh,How to Conquer the World with One Hand and an Attitude,Positive Power Publishing,Very Good,No Jacket,Soft Cover,Health,966837819,1999,,209,
"Blanc, Nero",Crossword Murder,Penguin Putnam,As New,No Jacket,Soft Cover,Mystery,0-425-17701-7,1999,,306,
"Blanc, Nero",The Crossword Murder,Berklely Prime Crime,Very Good,No Jacket,Soft Cover,Mystery,425177017,1999,,306,
"Block, Lawrence",The Burglar in the Rye,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1999,,,
"Braun, Lillian Jackson",The Cat Who Came to Breakfast,Jove Books,As New,No Jacket,Soft Cover,Mystery,515115649,1999,,261,
"Braun, Lillian Jackson",The Cat Who Robbed a Bank,G. P. Putnam's Sons,As New,Fine,Hard Cover,Mystery,399145702,1999,First Edition,242,
"Brown, Sandra",The Alibi,Warner Books,As New,Fine,Hard Cover,Mystery,446519804,1999,First Edition,490,
Canfield & Hansen,A 6th Bowl of Chicken Soup,Health Communications,Very Good,No Jacket,Soft Cover,Health,1-55874-662-5,1999,,385,
"Canizares, Susan and Berger, Samantha",Canada,Scholastic,Very Good,No Jacket,Soft Cover,Child's Book,439045738,1999,,,
"Chesson, Betsey and Chanko, Pamela",Australia,Scholastic,Very Good,No Jacket,Soft Cover,Child's Book,439045746,1999,,,
"Clancy, Tom",State of Siege,Berklely Books,Good,No Jacket,Soft Cover,Mystery,425168220,1999,,368,
"Clark, Carol Higgins",Twanged,Warner Books,Good,No Jacket,Soft Cover,Mystery,446605360,1999,,,
"Clark, Mary Higgins",We'll Meet Again,Simon & Shuster,As New,Fine,Hard Cover,Mystery,684835975,1999,First Edition,314,
"Clark, Mary Higgins",We'll Meet Again,Simon & Shuster,As New,Fine,Hard Cover,Mystery,0-684-83597-5,1999,First Edition,314,
"Clark, Mary Higgins",We'll Meet Again,Simon & Shuster,As New,Fine,Hard Cover,Mystery,0-684-83597-5,1999,First Edition,314,
"Clark, Mary Jane",Do You Promise Not to Tell & Do You want to Know a Secret,St. Martin's Paperbacks,Fair,No Jacket,Soft Cover,Mystery,0-312-35565-3,1999,,260,
Cole's Home Library Cookbooks,Cocktail Guide,Cole Publishing Group,As New,No Jacket,Mass Market Paperback,Cook Book,156426159X,1999,,128,
"Cornwell, Patricia",Black Notice,Berklely Books,As New,Fine,Hard Cover,Mystery,425175405,1999,First Edition,441,
"Cornwell, Patricia",Black Notice,G. P. Putnam's Sons,Poor,No Jacket,Hard Cover,Mystery,399145087,1999,,320,
"Cornwell, Patricia",Black Notice,G. P. Putnam's Sons,Poor,Poor,Hard Cover,Mystery,399145087,1999,,320,
"Cussler, Clive",Atlantis Found,Berkley Books,Very Good,No Jacket,Soft Cover,Mystery,4251777173,1999,,530,
"Cussler, Clive",Atlantis Found,Berklely Books,Good,No Jacket,Soft Cover,Novel,9.78E+12,1999,,521,
"Cussler, Clive",Atlantis Found,Berkely Books,Fair,No Jacket,Soft Cover,Western,0-425-17717-3,1999,,532,
"Cussler, Clive","Serpent, A Novel from the Numa Files",Pocket Books,Fair,No Jacket,Soft Cover,Novel,1.40E+14,1999,,470,
"Davis, Jim",Garfield's Extreme Cuisine Pigging Way Out!,Troll,Good,No Jacket,Soft Cover,Child's Book,816774323,1999,,,
"De Groat, Diane","Happy Birthday to You, You Belong in a Zoo",Morrow Junior Books,Very Good,No Jacket,Soft Cover,Child's Book,688165443,1999,,,
"Deaver, Jeffery",The Devel's Teardrop,Pocket Star Book,Fair,No Jacket,Soft Cover,Mystery,0-571-03844-3,1999,,451,
"Deaver, Jeffery",The Devil's Teardrop,Simon & Schuster,As New,As New,Hard Cover,Mystery,684852926,1999,,396,
"Deaver, Jeffery",The Devil's Teardrop,Pocket Star Book,Very Good,No Jacket,Soft Cover,Mystery,671038443,1999,,451,
"Dewberry, Donna",Decorative Murals,North Light Books,Good,No Jacket,Soft Cover,Art,089134988X,1999,,144,
"Dibdin, Michael","Blood Rain, an Aurelio Zen Mystery",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1999,,,
"Dubus, Andre, III",House of Sand and Fog,Vintage Books,Good,No Jacket,Soft Cover,Novel,375727345,1999,,365,
"Edell, Dean, M.D.","Eat, Drink and be Merry","Harper Collins, Publishers",As New,Good,Hard Cover,Medical,60191554,1999,1st Edition,347,
"Evanovich, Janet",High Five,St Martine's Press,As New,As New,Hard Cover,Mystery,312203039,1999,,292,
"Ferrigno, Robert",Heartbreaker,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1999,,,
"Flynn, Vince",Transfer of Power,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671023209,1999,,549,
"Folsom, Allan",Day of Confession,Warner Vision Books,As New,No Jacket,Soft Cover,Novel,446604534,1999,,667,
"Forshaw, Joseph, + Various",Birding- the Nature Company Guides,Time Life Books,As New,No Jacket,Hard Cover,Nature,0-7370-0077-5,1999,,288,
"Fox, Zachary Alan",When the Wind Blows,Pinnacle Books,Poor,No Jacket,Soft Cover,Novel,786006587,1999,,478,
"Garavani, Daniela",Pigs and Pork,Konemann,Very Good,No Jacket,Hard Cover,Collector,3-8390-1463-5,1999,,183,
"Garwood, Julie",Ransom,Pocket Books,Very Good,Good,Hard Cover,Mystery,671003356,1999,,390,
"Garwood, Julie",Ransom,Pocket Books,As New,Very Good,Hard Cover,Mystery,671003356,1999,1st Edition,486,
"Grafton, Sue",O is for Outlaw,Henry Holt & Co.,Very Good,Poor,Hard Cover,Mystery,805059555,1999,First Edition,272,
"Greeley, Andrew M.",Irish Mist,A Tom Doherty Associates Book,Good,No Jacket,Soft Cover,Novel,812590236,1999,First Edition,364,
"Grisham, John",The Testament,Doubleday,Good,Good,Hard Cover,Mystery,0-385-49380-0,1999,,343,
"Halley, Ned","Disasters, Natural, Historical, Environmental, Future",Scholastic,Very Good,No Jacket,Soft Cover,Education,439338735,1999,,63,
"Harrell, Gilvert D. & Frazier, Gary L.","Marketing, Connecting with Customers","Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Education,23502517,1999,,351,
"Helm, Alice K.",The Family Legal Advisor,"Family Library, Inc.",Very Good,No Jacket,Hard Cover,Legal,517546558,1999,,497,
"Higgins Clark, Mary",We'll Meet Again,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671004565,1999,,369,
"Higgins, Tom",Nascar Greatest Races: The 25 Most Thrilling Races in Nascar History,Harper Entertainment,,,Hard Cover,Historical,0-06-105152-7,1999,,141,
"Hillerman, Tony",Hunting Badger,Harper Collins,As New,No Jacket,Soft Cover,Mystery,61097861,1999,,335,
"Hoag, Tami",Ashes to Ashes,Bantam Book,As New,No Jacket,Soft Cover,Mystery,0-553-57960-6,1999,,,
"Holzer, Hans",Psychic: True Paranormal Experiences,Smithmark,Very Good,No Jacket,Hard Cover,Health,0-7651-0953-0,1999,,350,
"Horrock, Henry",Potomac Fever,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1999,,,
"Hunter, David",The Dancing Savior,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1999,,,
"Ibbotson, Eva",The Secret of Platform 13 and Island of the Aunts,Puffin Books,Poor,No Jacket,Soft Cover,Novel,0-14-230049-7,1999,,231,
"Innes, Clive & Glass, Charles",The Illustrated Encyclopedia of Cacti,Quantum Books,Very Good,No Jacket,Soft Cover,Education,1-86160-219-7,1999,,320,
"Jackson, Sarah",A Child's History of Texas,Eakin Press,Fair,No Jacket,Soft Cover,Child's Book,1571683569,1999,,51,
"Jance, J. A.",Breach of Duty,Avon Books,Very Good,No Jacket,Soft Cover,Mystery,038071843X,1999,,358,
"Jance, J. A.",Rattlesnake Crossing,Avon,As New,No Jacket,Soft Cover,Mystery,380792478,1999,,374,
"Johansen, Iris",And Then You Die,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,553579983,1999,,322,
"Johansen, Iris",The Killing Game,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553581554,1999,,353,
"Johansen, Iris",The Ugly Duckling,Bantam Books,As New,As New,Soft Cover,Mystery,553569910,1999,,406,
"Johnstone, William W.",Creed of the Mountain Man,Pinnacle Books,Very Good,No Jacket,Soft Cover,Novel,1.40E+14,1999,1st Edition,256,
"Kellerman, Faye",Jupiter's Bones,Aven Books,Fair,No Jacket,Soft Cover,Mystery,380730820,1999,,437,
"Kellerman, Faye",Moon Music,Aven Books,Good,No Jacket,Soft Cover,Mystery,380726262,1999,,494,
"Kellerman, Jonathan",Billy Straight,Random House,Good,Fair,Hard Cover,Novel,679459596,1999,,467,
"Kellerman, Jonathan",Monster,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,0-345-41387-3,1999,,,
"Koontz, Dean",Seize the Night,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,9.78E+12,1999,,443,
"Krentz, Jayne Ann",Flash,Pocket Star,Fair,No Jacket,Soft Cover,Mystery,671523090,1999,,407,
"Lea, Christine",The Oxford New Spanish Dictionary,Berklely Books,Fair,No Jacket,Soft Cover,Education,042517090x,1999,,,
"Lescroart, John",Nothing But the Truth,Signet,As New,No Jacket,Soft Cover,Mystery,451202856,1999,,452,
"Lescroart, John",The Mercy Rule,Island Books,Fair,No Jacket,Soft Cover,Mystery,440222826,1999,,611,
"Lescroart, John",The Vig,Dell Book,As New,No Jacket,Soft Cover,Mystery,440209862,1999,,376,
"Levine, Eileen",Best Chicken Dishes,Time Inc.,As New,Fair,Hard Cover,Cook Book,1688171729,1999,1st Edition,253,
"Littauer, Florence",How to Get Along with Difficult People,Harvest House,Very Good,No Jacket,Soft Cover,Self Help,1565079329,1999,,190,
"Mackie, Carole",Me and My Shadow,Aurum Press,As New,As New,Hard Cover,Health,1854106279,1999,1st Edition,348,
"Mast, Brian",Profiles of Success,Bridge-Logos,As New,No Jacket,Soft Cover,Self Help,882707752,1999,,336,
"McGraw Phd,, Phillip C.",Life Strategies,Hyperion,As New,No Jacket,Soft Cover,Health,786884592,1999,,,
"McGraw, Phillip C., Ph.D.",Life Strategies,Hiperion,Very Good,No Jacket,Soft Cover,Self Help,1.40E+14,1999,1st Edition,304,
"Meier, Leslie",Christmas Cookie Murder,Kensington,As New,Good,Hard Cover,Mystery,1575664763,1999,,232,
"Michaels, Barbara",Other Worlds,Harper Collins,Fair,Poor,Hard Cover,Thriller,60192356,1999,1st Edition,217,
"Moore, Clement Clark",The Night Before Christmas,Rand McNally & Company,Fair,No Jacket,Hard Cover,Child's Book,,1999,,,
"Moreton, Daniel and Samantha Berger",A Day in Japan,Scholastic,Very Good,No Jacket,Soft Cover,Child's Book,439045711,1999,,,
"Moyer, Patsy","Modern Collectible Dolls, Volume III",Collector Books,Very Good,No Jacket,Hard Cover,Collector,,1999,,303,
"Murphy, Shirley Rousseau",Cat in the Dark,Avon Books,As New,No Jacket,Soft Cover,Mystery,61059471,1999,,314,
"Myers, David G.",Scientific American Psychology Reader,Worth Publishers,Fair,No Jacket,Soft Cover,Education,071675150X,1999,,75,
"Myers, Tamar",Baroque & Desparate,Avon Books,As New,No Jacket,Soft Cover,Mystery,380802252,1999,,250,
"Myers, Tamar",Baroque and Desperate,Avon,Very Good,No Jacket,Soft Cover,Mystery,0-380-80225-2,1999,,250,
"Oates, Joyce Carol writing as Rosamond Smith",Starr Bright Will be with You Soon,Detective Book Club,Fair,No Jacket,Hard Cover,Mystery,None,1999,,,
"O'Connell, Carol",Shell Game,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0-425-17603-7,1999,,402,
"O'Connell, Carol",Shell Game,Berklely Books,Good,No Jacket,Soft Cover,Mystery,0-425-17603-7,1999,,402,
"O'Connell, Carol",Shelll Game,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0-425-17603-7,1999,,,
"O'Shaughnessy, Perri",Acts of Malice,Dell Book,As New,No Jacket,Soft Cover,Mystery,0-440-22581-5,1999,,448,
"Palahniuk, Chuck",Invisible Monsters,W. W. Norton & Co.,Fair,No Jacket,Soft Cover,Novel,393319296,1999,,297,
"Parker, Robert",Hush Money,G. P. Putnam's Sons,Fair,No Jacket,Hard Cover,Novel,399144587,1999,,272,
"Patterson, James",Pop Goes the Weasel,Warner Books,As New,No Jacket,Soft Cover,Mystery,446608815,1999,,461,
"Patterson, James",Pop Goes the Weasel,Warner Vision Books,Very Good,No Jacket,Soft Cover,Mystery,446608815,1999,,461,
"Patterson, Richard North",Dark Lady,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345404785,1999,1st Edition,424,
"Peretti, Frank",The Visitation,West Bow,As New,No Jacket,Soft Cover,Christian Fiction,1.40E+13,1999,,600,
"Plain, Belva",Fortune's Hand,Delacorte Press,As New,Fine,Hard Cover,Novel,385316925,1999,,356,
"Poynter, Dan & Bingham, Mindy",Is There a Book Inside You?,Para Publishing,New,No Jacket,Soft Cover,Self Help,1568600461,1999,,235,
"Poynter, Dan & Bingham, Mindy",Is There a Book Inside You?,Para Publishing,New,No Jacket,Soft Cover,Self Help,1568600461,1999,,235,
"Poynter, Dan & Bingham, Mindy",Is There a Book Inside You?,Para Publishing,New,No Jacket,Soft Cover,Self Help,1568600461,1999,,235,
"Reding, Elizabeth Eisner",Mictosoft Publisher 98,Course Technology,Very Good,No Jacket,Soft Cover,Education,0-7600-6106-8,1999,,,
"Reichs, Kathy",Death Du Jour,Scribner,As New,Very Good,Hard Cover,Mystery,684841185,1999,,379,
"Reiner, Carl",How Paul Robeson Saved My Life,Cliff Street Books,As New,As New,Hard Cover,Humor,60194510,1999,,,
"Reingold, Carmel German",The 7 Most Effective Ways to Jump-Start Your Diet,A Del Book,As New,No Jacket,Soft Cover,Medical,440225876,1999,,177,
"Renjilian-Burgy, Joy & Chiquito, Ann Beatrice & Mraz, Susan M.",Caminos Activity Manual,Houghton Miffin Co.,As New,No Jacket,Soft Cover,Spanish,395815401,1999,,229,
"Roberts, Nora",Inner Harbor,Jove Books,Very Good,No Jacket,Soft Cover,Romance,515124214,1999,,342,
"Roberts, Nora",Rising Tides,Jove Books,Very Good,No Jacket,Soft Cover,Romance,051512317X,1999,,339,
"Rodgers, Alan",Pandora,Bantam Book,Very Good,No Jacket,Soft Cover,Horror,0-553-56305-X,1999,,371,
"Sanders, Lawrence",McNally's Dilemma,G. P. Putnam's Sons,As New,Fine,Hard Cover,Mystery,399144900,1999,,309,
"Sandford, John",Certain Prey,G. P. Putnam Sons,As New,Fine,Hard Cover,Mystery,0-399-14496-X,1999,,339,
"Scottoline, Lisa",Mistaken Identity,Harper Paperbacks,Fair,No Jacket,Soft Cover,Mystery,61096113,1999,,561,
"Scottoline, Lisa",Mistaken Identity,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61096113,1999,,561,
"Scottoline, Lisa",Mistaken Identity,HarperTorch,Fair,No Jacket,Soft Cover,Mystery,61096113,1999,,580,
"Sean, Leigh Greenwood",The Cowboys,Leisure Books,Very Good,No Jacket,Soft Cover,Novel,843944900,1999,,393,
"Shahan, Sherry",Frozen Stiff,Yearling,Very Good,No Jacket,Soft Cover,Novel,440413737,1999,,150,
"Shaw, Rebecca",Village Gossip,Orion,Very Good,No Jacket,Soft Cover,Novel,0-75283-397-9,1999,,271,Signed by Author
"Smith, Martin Cruz",Havana Bay,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345390458,1999,,334,
"Snyder, Margaret",The Goofed-up Pet Shop,Merrigold Press,Fair,No Jacket,Soft Cover,Child's Book,030741194X,1999,,,
"Somers, Suzanne",Get Skinny on Fabulous Food,Three Rivers Press,As New,No Jacket,Soft Cover,Health,609802372,1999,,266,
"Sparks, Nicholas",Message in a Bottle,Warner Vision Books,Very Good,No Jacket,Soft Cover,Romance,446606812,1999,,370,
"Stevenson, William J.",Production Operations Management,McGraw Hill,Very Good,No Jacket,Hard Cover,Education,71158561,1999,,912,
"Tedford, Marie & Goudey, Pat",Official Price Guide to Old Books: 3rd Ed.,House of Collectibles,,No Jacket,Soft Cover,Collector,00676-60157-X,1999,,392,
"Templeton, Timothy L. W/ Lynda Rutledge Stephenson",The Referral of a Lifetime,MasterTrack International,Very Good,No Jacket,Hard Cover,Reference,966784510,1999,,127,
"Turow, Scott",Personal Injuries,"Farrar, Straus & Giroux",As New,Fine,Hard Cover,Novel,0-374-28194-7,1999,First Edition,400,
"Turow, Scott",Personmal Injuries,"Farrar, Straus & Giroux",Very Good,Fine,Hard Cover,Novel,374281947,1999,,,
"Vigilante, Kevin, MD. & Mary Flynn PH D.","Low Fat Lies, High Fat Frauds",Life Line Press,"Poor, Very Poor",Poor,Hard Cover,Medical,895263211,1999,,334,
"Weigel, George",Witness to Hope,Harper Perennial,Very Good,No Jacket,Soft Cover,"Biography, Religion",60732032,1999,,1016,
"Wigggs, Susan",Husband for Hire,Harlequin,Fair,No Jacket,Soft Cover,Romance,373825854,1999,,251,
"Wigggs, Susan",The Horsemaster's Daughter,Mira,Very Good,No Jacket,Soft Cover,Novel,1-55166-534-4,1999,,399,
"Zelnick, Bob","Gore, A Political Life",Regnery Publishing Inc.,As New,As New,Hard Cover,Historical,0-89526-326-2,1999,,384,
" Gilman, Dorothy",Mrs. Pollifax Unveiled,Ballantine Books,As New,Very Good,Hard Cover,Mystery,34+H34455436520,2000,,195,
"Albert, Susan Wittig",Dead Man's Bones,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425204251,2000,,,
Albert. Susan Wittig,Mistletoe Man,Berklely Books,As New,Fine,Hard Cover,Mystery,425176738,2000,,,
"Alleroft, Britt",Thomas and the Magic Railroad Little Engines Can Do Big Things,Random House,Very Good,No Jacket,Soft Cover,Child's Book,375805532,2000,,,
"Altman, John",A Gathering of Spies,Jove Books,Very Good,No Jacket,Soft Cover,Novel,0515 131105,2000,,321,
"Anders, C. J.",Dawson's Creek Running on Empty,Pocket Pulse,Good,No Jacket,Soft Cover,Novel,671775405,2000,,162,
"Atwood, Margaret",The Blind Assassin,Anchor Books,Very Good,No Jacket,Soft Cover,Mystery,385720955,2000,,,
"Benson, Ann",Burning Road,Dell,Fair,No Jacket,Soft Cover,Novel,440225914,2000,,708,
"Best, Roger J.",Market-based Management,"Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Education,130145467,2000,,385,
"Brothers, Dr. Joyce",Angels & Demons,Pocket Star Books,Very Good,No Jacket,Soft Cover,Novel,671027360,2000,,,
"Brown, Dan",Angels & Demons,Pocket Star Book,Very Good,No Jacket,Soft Cover,Novel,671027360,2000,,572,
"Brown, Dan",Angels & Demons,Pocket Star Book,As New,No Jacket,Soft Cover,Novel,671027360,2000,,572,
"Brown, Dan",Angels and Demons,Pocket Star Books,As New,No Jacket,Soft Cover,Mystery,671027360,2000,,572,
"Brown, Sandra",Standoff,Warner Books,As New,Fair,Hard Cover,Novel,446527017,2000,,217,
"Brown, Sandra",The Switch,Warner Books,Very Good,No Jacket,Soft Cover,Mystery,446609943,2000,1st Edition,550,
"Burke, James Lee",Purple Cane Road,Phoenix,Good,No Jacket,Soft Cover,Mystery,752843346,2000,,360,
"Cameron, Stella",Key West,Zebra Books,Good,No Jacket,Soft Cover,Mystery,821765957,2000,,479,
"Capucilli, Alyssa Satin",Biscuit's New Trick,Scholastic,Very Good,No Jacket,Soft Cover,Child's Book,439652685,2000,,24,
Capucilli. Alyssa Satin,"Biscuit's Christmas, A Scratch-And-sniff Book",Harper Festival,Very Good,No Jacket,Hard Cover,Child's Book,694015164,2000,,,
Carey Kinsolving and Friends,Kids Talk About God,Gift Books,As New,No Jacket,Hard Cover,Child's Book,849995704,2000,,105,
