AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Wilton, Norman",Cake & Food Decorating,"Wilton Enterprising, Inc.",Good,No Jacket,Soft Cover,Cook Book,NULL,1970,NULL,192,NULL
"Anderton, Johana Gast",Twentieth Century Dolls from Bisque to Vinyl,The Trojan Press,Poor,Poor,Hard Cover,Collector,NULL,1971,NULL,464,NULL
"Barrett, S. M.",Geronimo His Own Story,Ballantine Books,Fair,No Jacket,Soft Cover,Historical,34511,1971,1,204,NULL
"Blume, Judy",Freckle Juice,Four Winds Press,Poor,No Jacket,Hard Cover,Childs Book,590072420,1971,NULL,40,NULL
"Crocker, Betty",Betty Crockers All Time Favorites,Golden Press,NULL,NULL,Hard Cover,Cook Book,NULL,1971,NULL,160,NULL
"Durr, William K., LePere, Jean M. & Niehaus, Bess",Rewards,Houghton Miffin Co.,Very Good,No Jacket,Hard Cover,Collector,0395005825,1971,NULL,288,NULL
"Ellis, Mel","Wild Goose, Brother Goose",Readers Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),NULL,1971,NULL,NULL,NULL
"Florin, Lambert",Nevada Ghost Towns,Superior Publishing Company,Good,No Jacket,Soft Cover,Historical,NULL,1971,NULL,96,NULL
"Gardner, Earl Stanley",All Grass Isnt Green,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,NULL,1971,NULL,176,NULL
"Garfield, Brian",Deep Cover,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,449236013,1971,NULL,316,NULL
"Gaskin, Catherine",A Falcon for a Queen,Readers Digest,As New,As New,Hard Cover,Advanced Reading Copy (ARC),NULL,1971,NULL,NULL,NULL
"Gilman, Dorothy",The Amazing Mrs. Polifax,Readers Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),NULL,1971,NULL,NULL,NULL
"Hall, Bobi",Handbook of Common Macrame Knots,Craft Course Publishers Inc.,Fair,No Jacket,Soft Cover,Education,NULL,1971,NULL,30,NULL
"Hallard, Peter",Puppy Lost in Lapland,"Franklin Watts, Inc",Good,No Jacket,Hard Cover,Childs Book,NULL,1971,NULL,124,NULL
"Hart, B.H. Liddell",History of the Second World War,G.P. Putnams Sons,Good,No Jacket,Hard Cover,Historical,NULL,1971,1,768,NULL
"Hesse, Herman",Siddhartha,Bantam Books,Fair,No Jacket,Soft Cover,Novel,NULL,1971,NULL,152,NULL
"Hohne, Heinz & Hermann Zolling",The General Was a Spy,Bantam Books,Poor,No Jacket,Soft Cover,Historical,NULL,1971,NULL,439,NULL
"Holt, Victoria",The Shadow of the Lynx,Fawcett Crest,Poor,No Jacket,Soft Cover,Romance,NULL,1971,NULL,320,NULL
"Hurwood, Bernhardt J.","Ghost, Gouls & Other Horrors",Scholastic,Good,No Jacket,Soft Cover,Fantasy,590450913,1971,NULL,144,NULL
"Jablonski, Edward",Outraged Skies,Doubledaiy & Co.,Good,Fair,Hard Cover,Historical,038504156,1971,NULL,147,NULL
"Jablonski, Edward",Terror from the Sky,Doubledaiy & Co.,Good,Poor,Hard Cover,Historical,385045247,1971,NULL,175,NULL
"Jablonski, Edward","Tragic Victories, Airwar: Volume II",Doubledaiy & Co.,Good,No Jacket,Hard Cover,Historical,038504125,1971,NULL,207,NULL
LAmour Louis,Tucker,Bantam Books,Very Good,No Jacket,Soft Cover,Western,97812,1971,NULL,219,NULL
"Leuzzi, Marlene and Robert J. Kershner",Kewpies in Action,NULL,Very Good,As New,Hard Cover,Education,NULL,1971,NULL,122,By the Author
"Ludlum, Robert",The Scarlatti Inheritance,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553114271,1971,NULL,354,NULL
"MacDonald, John D.",A Tan and Sandy Silence,A Fawcett Gold Medal Book,Poor,No Jacket,Soft Cover,Mystery,NULL,1971,NULL,255,NULL
"McDowell, Jack",Ghost Towns of the West,Sunset Publishing Corporation,As New,No Jacket,Hard Cover,Education,NULL,1971,NULL,256,NULL
"Morrison, Jim",The Lords and The New Creatures,Simon & Shuster,Poor,No Jacket,Soft Cover,Poetry,0671210440,1971,NULL,141,NULL
"Nierenberg, Gerard L.",How to Read a Person Like a Book,Pocket Books,Fair,No Jacket,Soft Cover,Education,671785931,1971,NULL,189,NULL
"Stone, Jon",The Monster at the End of This Book,Golden Books,Good,No Jacket,Hard Cover,Childs Book,307010856,1971,NULL,NULL,NULL
"Tryon, Thomas",The Other,Alfred A. Knoff,Fair,Good,Hard Cover,Mystery,394467442,1971,NULL,280,NULL
Artcraft,Birthday Children,William Collins Sons & Co.,Poor,No Jacket,Soft Cover,Childs Book,NULL,1972,NULL,NULL,NULL
"Blume, Judy",Tales of a Fourth Grade Nothing,A Yearling Book,Good,No Jacket,Soft Cover,Childs Book,044048474,1972,NULL,120,NULL
"Bowen, Ezra",The High Sierra,Time-Life Books,Very Good,No Jacket,Hard Cover,Historical,NULL,1972,NULL,184,NULL
"Christie, Agatha",Elephants Can Remember,Dodd Mead & Co.,Very Good,Fair,Hard Cover,Mystery,NULL,1972,NULL,243,NULL
"Crockett, James Underwood",Flowering House Plants,Time Life Books,Very Good,No Jacket,Hard Cover,Education,NULL,1972,NULL,160,NULL
"Crockett, James Underwood",Foliage House Plants,Time Life Books,Very Good,No Jacket,Hard Cover,Education,NULL,1972,NULL,160,NULL
"Crockett, James Underwood",Perennials,Time Life Books,Very Good,No Jacket,Hard Cover,Education,NULL,1972,NULL,160,NULL
"Davies, Robertson",The Manticore,Macmillan of Canada,Fair,No Jacket,Hard Cover,Novel,077050891,1972,NULL,280,NULL
"Friend, Natasha",Lush,Scholastic,Very Good,Very Good,Hard Cover,Young Adult,043985343,1972,1,178,NULL
"Friend, Natasha",Perfect,Milkweed Editions,Good,No Jacket,Soft Cover,Novel,1571316515,1972,NULL,172,NULL
"Garrison, Ray H.",Managerial Accounting,"Business Publications, Inc.",Very Good,No Jacket,Hard Cover,Education,256032610,1972,NULL,614,NULL
"Higgins, Jack","Savage Day, The",A Signet Book,Good,No Jacket,Soft Cover,Mystery,451142543,1972,NULL,255,NULL
"Holt, Victoria",On the Night of the Seventh Moon,Fawcett Crest,Good,No Jacket,Soft Cover,Romance,449212289,1972,NULL,383,NULL
"Hurwood, Bernhardt J.",Haunted House,Scholastic,Poor,No Jacket,Soft Cover,Fantasy,590450190,1972,NULL,NULL,NULL
"Hurwood, Bernhardt J.","Vampiers, Werewolves & Other Demons",Scholastic,Good,No Jacket,Soft Cover,Fantasy,590412140,1972,NULL,112,NULL
"Jablonski, Edward",Wings of Fire,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Historical,385042779,1972,NULL,243,NULL
"Levin,",The Stepford Wives,Readers Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),NULL,1972,NULL,NULL,NULL
"Montgomery, Ruth",A World Beyond,Fawcett Crest,Good,No Jacket,Soft Cover,Psychic,044920832,1972,NULL,176,NULL
"Paher, Stanley W.",Ponderosa Country,Nevada Publications,Fine,Very Good,Hard Cover,Historical,===,1972,NULL,48,NULL
"Prather, Hugh","I Touch the Earth, the Earth Touches Me",Doubledaiy & Co.,Good,No Jacket,Soft Cover,Education,385050631,1972,NULL,NULL,NULL
"Rackham, Arthur",Once Upon a Time,Viking,Good,No Jacket,Hard Cover,Childs Book,NULL,1972,NULL,296,NULL
"Reader John, & Croze, Harvey",Pyramids of Life,J. B. Lippincott Company,Poor,No Jacket,Hard Cover,Education,0397011512,1972,NULL,222,NULL
"Rice, Helen Steiner",Someone Cares,Fleming H. Revell Company,As New,Very Good,Hard Cover,Poetry,NULL,1972,NULL,128,NULL
"Salten, Felix",The Beloved Classic Bambi,Grosset & Dunlap,Fair,No Jacket,Soft Cover,Paperback,448053500,1972,NULL,159,NULL
"Smith, Robert Kimmel",Sadie Shapiros Knittting Book,Readers Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),NULL,1972,NULL,NULL,NULL
"Stearn, Jess",Search for a Soul,Fawcett Crest,As New,No Jacket,Soft Cover,Novel,NULL,1972,NULL,287,NULL
"Stein, Philip L. & Rowe, Bruce M.","Write Better, Speak Better","Readers Digests Association, Inc.",NULL,NULL,Hard Cover,Education,NULL,1972,NULL,730,NULL
"Tanur, Judith M.","Statistics, A Guide to the Unknown","Holden-Day, Inc.",Poor,No Jacket,Soft Cover,Reference,0816286043,1972,NULL,430,NULL
"Tanur, Judith M.",Statistics: A Guide to the Unknown,"Holden-Day, Inc.",Poor,No Jacket,Soft Cover,Historical,816286042,1972,NULL,430,NULL
"Bellairs, John",The House with a Clock in Its Walls,Dell Publishing,Fair,No Jacket,Soft Cover,Mystery,440437423,1973,NULL,179,NULL
"Christie, Agatha",Postern of Fate,Bantam Books,Good,No Jacket,Soft Cover,Mystery,NULL,1973,NULL,276,NULL
"Compton, Joan",Knowledge Through Color House Plants,Bantam Books,Fair,No Jacket,Soft Cover,Paperback,NULL,1973,NULL,159,NULL
"Cushner, Zelder","Doll News, February 1973","United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,NULL,1973,NULL,36,NULL
"Cussler, Clive",The Mediterranean Caper,Pocket Books,Very Good,No Jacket,Soft Cover,Novel,671737783,1973,NULL,248,NULL
"Cussler, Clive",The Mediterranean Caperr,Berkely Books,Good,No Jacket,Soft Cover,Novel,97812,1973,NULL,324,NULL
"Disney, Walt",Snow White and the seven Dwarfs,Random House,Poor,No Jacket,Hard Cover,Childs Book,NULL,1973,NULL,NULL,The pages in this book are not numbered.
"Disney, Walt",The Art of Walt Disney from Mickey Mouse to the Magic Kingdom,Harry N. Abrams,As New,As New,Hard Cover,Childs Book -Collectors Book,810901226,1973,NULL,458,NULL
"Drury, Allen","Come Ninevah, Come Dtyre",Avon,As New,No Jacket,Soft Cover,Novel,380001268,1973,NULL,544,NULL
"Everton, George B., Sr.",The How Book for Geneologists,"The Everton Publishers, Inc.",Fair,No,Half-Leather,Education,NULL,1973,7,237,NULL
"Finch, Christopher",The Art of Walt Disney,Harry N. Abrams,Very Good,Very Good,Hard Cover,Collector,0810901226,1973,NULL,458,NULL
"Gruening, Ernest",Many Battles,Liveright,Very Good,No Jacket,Hard Cover,Autobiography,871405652,1973,NULL,563,NULL
"Hersey, John",Hiroshima,"Scholastic, Inc.",Very Good,No Jacket,Soft Cover,Historical,590257625,1973,NULL,152,NULL
"Jeffrey, Adi-Kent Thomas",The Bermuda Triangle,Warner Paperback Library,Poor,No Jacket,Soft Cover,Ficton,NULL,1973,NULL,189,NULL
"Kraus, Barbars",Calories and Carbohydrates,Signet,Fair,No Jacket,Soft Cover,Health,NULL,1973,NULL,384,NULL
"Leader, Mary","Triad, A Novel of the Supernatural","Coward-McCann, Inc.",Fair,Poor,Hard Cover,Science Fiction,NULL,1973,NULL,185,NULL
"LEngle, Madeleine",A Wrinkle in Tiem,Dell Publishing Co.,NULL,No Jacket,Soft Cover,Novel,0440498058,1973,NULL,211,NULL
"LEngle, Madeleine",A Wrinkle in Time,A Yearling Book,As New,No Jacket,Soft Cover,Novel,440498058,1973,NULL,211,NULL
"Lenz, Lee W.",Native Plants for Calif. Gardens,Day Printing Corp.,Good,No Jacket,Soft Cover,Education,NULL,1973,NULL,166,NULL
Life Magazine,The Best of Life,Time Life Books,Very Good,No Jacket,Hard Cover,Collector,NULL,1973,NULL,NULL,NULL
"Ludlum, Robert",The Matlock Paper,A Dell Book,Fair,No Jacket,Soft Cover,Novel,044015538,1973,NULL,384,NULL
"Maas, Perter",Serpico,"Peter Maas and Tsampa Company, Inc.",Fair,No Jacket,Soft Cover,Novel,NULL,1973,NULL,311,NULL
"Maltz, Maxwell,",The Magic Power of Self-Image Psychology,Pocket Books,Fair,No Jacket,Soft Cover,Education,NULL,1973,NULL,211,NULL
"Mann, May",Jayne Mansfield,Pocket Books,Poor,No Jacket,Soft Cover,Biography,NULL,1973,NULL,288,NULL
"Masterson, Whit",The Undertaker Wind,Detective Book Club,Fair,No Jacket,Hard Cover,Mystery,NULL,1973,NULL,NULL,NULL
"Metz, Rudolph",Gems and Minerals in Color,"Hippocrene Books, Inc.",Very Good,Very Good,Hard Cover,Education,0885242818,1973,NULL,255,NULL
"Morehouse, Thomas A. & Harrison, Gordon S.",An Electoral Profile of Alaska,"Institute of Social, Economic and Government Research of Alaska",Very Good,No Jacket,Soft Cover,Historical,883530104,1973,NULL,98,NULL
"Roberts, Elisabeth",Jumping Jackjaws! Here Comes Simon,Rand McNally & Company,Very Good,Good,Hard Cover,Childs Book,0528820974,1973,NULL,192,NULL
"Rose, Phil and Merle",The Reno/Tahoe Visitor,"Visitor Publications, Inc.",As New,No Jacket,Hard Cover,Travel,NULL,1973,NULL,NULL,NULL
"Schroeder, Joseph J., Jr.","1923 Sears, Roeuck Catalogue","Digest Books, Inc.",Very Good,No Jacket,Soft Cover,Collector,NULL,1973,NULL,974,NULL
"Smith, Helen Henry","Vikingsholm, Tahoes Hidden Castle",Lohs Graphics Nest,Good,No Jacket,Hard Cover,Novel,NULL,1973,NULL,36,NULL
"Smith, Karl J.",Trigonometry for College Students,Brooks Cole Publishing Co.,Poor,No Jacket,Hard Cover,Education,818501987,1973,NULL,283,NULL
"Smith, Patricia R.",Modern Collectors Dolls,Crown Publishers,Very Good,Very Good,Hard Cover,Collector,NULL,1973,1,310,NULL
"Stewart, Mary",The Hollow Hills,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,449204421,1973,NULL,447,NULL
"Thommen, George S.",Is This Your Day?,Avon,Very Good,No Jacket,Soft Cover,Novel,380004631,1973,NULL,177,NULL
"Tweedie, Michael",All Color Book of Insects,Octobus Books,Very Good,Very Good,Hard Cover,Education,706402197,1973,1,70,NULL
"Valiente, Doreen",An ABC of Witchcraft Past and Present,St. Martins Press,As New,Fine,Hard Cover,Novel,NULL,1973,NULL,416,NULL
"Wharton, David B.",The Alaska Gold Rush,Indiana University Press,Very Good,Fair,Hard Cover,Historical,253100615,1973,NULL,302,NULL
"Whitney, Phyllis A.",Turqoise Mask,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,NULL,1973,NULL,320,NULL
"Babson, Marian",Unfair Exchange,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1974,NULL,NULL,NULL
"Bortstein, Larry",Hot Rods and Drag Racing,Troll Associates,Good,No Jacket,Soft Cover,Paperback,NULL,1974,NULL,32,NULL
"Bugliosi, Vincent",Helter Skelter,Bantam Books,Good,No Jacket,Soft Cover,Novel,NULL,1974,NULL,664,NULL
"Christie, Agatha",Murder on the Links,Dell,Fair,No Jacket,Soft Cover,Mystery,NULL,1974,NULL,224,NULL
"Cooper, Kenneth H., M.D.",The Aerobics Way,Bantam Books,As New,Fine,Soft Cover,Health,553233483,1974,NULL,311,NULL
"Davis, Angela",Angela Davis: An Autobiography,Bantam Books,Fair,No Jacket,Soft Cover,Autobiography,NULL,1974,NULL,399,NULL
"Eastman, P. D.",The Alphabet Book,Random House,Good,No Jacket,Soft Cover,Childs Book,394828186,1974,NULL,NULL,NULL
"Jaffee, Al",Mad Monstrosities,Warner Books,Good,No Jacket,Soft Cover,Childs Book,0446887315,1974,NULL,NULL,NULL
"Johnston, William","Happy Days, Fonzie Drops In",Grosset & Dunlap,Good,No Jacket,Soft Cover,Humor,448074526,1974,NULL,155,NULL
"Konvitz, Jeffrey",The Sentinel,Ballantine Books,Fair,No Jacket,Soft Cover,Novel,34511,1974,NULL,278,NULL
Luce. Henry R.,The Old West,Time Life Books,Very Good,No Jacket,Hard Cover,Western,NULL,1974,NULL,238,NULL
"Ludlum, Robert",The Rhinemann Exchange,Dell Publishing Co.,Fair,No Jacket,Soft Cover,Novel,440150795,1974,NULL,446,NULL
"Pirsig, Robert M.",Zen and the Art of Motorcycle Maintenance,Bantam Books,Good,No Jacket,Soft Cover,Novel,0553277472,1974,NULL,380,NULL
"Rhodes, Richard",The Ozarks,Time Inc.,NULL,NULL,Hard Cover,Education,0809411962,1974,NULL,184,NULL
"Silverstein, Shel",Where the Sidewalk Ends,Harper and Rowe,Very Good,No Jacket,Hard Cover,Historical,060256680,1974,NULL,166,NULL
"Trench, Brinsley L.e Poer",Secret of the Ages,Pinnacle Books,As New,No Jacket,Soft Cover,Education,523400505,1974,NULL,216,NULL
"Tryon, Thomas",Lady,Alfred A. Knoff,Very Good,Good,Hard Cover,Novel,NULL,1974,NULL,278,NULL
"Whitney, Phylis A.",The Mystery of the Gulls,Signet,Good,No Jacket,Soft Cover,Novel,NULL,1974,1,175,NULL
"Winer, Richard",The Devils Triangle,A Bantam Book,Fair,No Jacket,Soft Cover,Mystery,NULL,1974,NULL,222,NULL
"Abbey, Edward",The Monkey Wrench Gang,Avon,Good,No Jacket,Soft Cover,Novel,038000741,1975,NULL,387,NULL
"Babson, Marian",There Must be Some Mistake,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1975,NULL,NULL,NULL
"Becker, Stephen",The Chinese Bandit,Berklely Books,Poor,No Jacket,Soft Cover,Adventure,425034038,1975,NULL,309,NULL
"Bruce-Briggs, B.",The War Against the Automobile,"E. P. Dutton & Company, Inc.",Very Good,Fair,Hard Cover,Historical,525230084,1975,NULL,244,NULL
"Bryant, Traphes",Dog Days at the White House,Macmillan Publishing Company,Very Good,Fine,Hard Cover,Political,002517990,1975,1,343,NULL
"Burris, Jack",Music at Quaker Valley,Scotties,As New,No Jacket,Soft Cover,Novel,NULL,1975,NULL,186,NULL
"Busch, Fritz-Otto",The Sinking of the Scharnhorst,Futura Publications Limited,Good,No Jacket,Soft Cover,Historical,860071308,1975,NULL,186,NULL
"Christie, Agatha",Crooked House,Pocket Books,Fair,No Jacket,Soft Cover,Mystery,NULL,1975,NULL,180,NULL
"Clark, Mary Higgins",Where Are the Children?,Pocket Books,Fine,No Jacket,Soft Cover,Mystery,671741187,1975,NULL,290,NULL
"Clavell, James",Shogun,Dell Publishing Co.,Very Good,Very Good,Soft Cover,Novel,NULL,1975,NULL,1210,NULL
"Cott M.D., Allan",Fasting the Ultimate Diet,Jerome Agel,Fair,No Jacket,Soft Cover,Health,NULL,1975,NULL,148,NULL
"Cussler, Clive",Iceberg,Bantam Book,Fair,No Jacket,Soft Cover,Adventure,553110624,1975,NULL,296,NULL
"Cussler, Clive",Iceberg,Berkely Books,Fair,No Jacket,Soft Cover,Adventure,97812,1975,NULL,369,NULL
"Hitchcock, Alfred",Speak of the Devil,A Dell Book,Good,No Jacket,Soft Cover,Mystery,NULL,1975,NULL,235,NULL
"Joseph, Franz","Star Trek, Star Fleet, Technical Manuel",Ballantine Books,As New,Very Good,Hard Cover,Education,NULL,1975,NULL,NULL,NULL
"King, Stephen",Salems Lot,A Signet Book,Good,No Jacket,Soft Cover,Mystery,NULL,1975,NULL,427,NULL
"Krantzler, Mel",Creative Divorce,Signet,Good,No Jacket,Soft Cover,Self Help,NULL,1975,NULL,240,NULL
"Littlegreen, Inc.",Transfiguration Diet,"Littlegreen, Inc.",Fair,No Jacket,Soft Cover,Health,936863048,1975,NULL,159,NULL
"Maclean, Alistair",Circus,Doubledaiy & Co.,Very Good,Fair,Hard Cover,Mystery,NULL,1975,NULL,192,NULL
"Maclean, Alistair",Circus,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,449228754,1975,NULL,268,NULL
"Mandino, Og",The Greatest Miracle in the World,Bantam Book,Good,No Jacket,Soft Cover,Novel,055320551,1975,NULL,108,NULL
"Marchant, Catherine",Miss Martha Maryi Crawford,William Morrow,Good,Fair,Hard Cover,Novel,NULL,1975,NULL,248,NULL
"Meyer, Carolyn",People Who Make Things,Athenium,As New,Fine,Hard Cover,Education,0689500122,1975,NULL,200,NULL
"Milne, Christopher",The Enchanted Places,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Adventure,0525292934,1975,NULL,169,NULL
"Norton, Andre",The White Jade Fox,"E. P. Dutton & Company, Inc.",Very Good,No Jacket,Soft Cover,Ficton,NULL,1975,NULL,208,NULL
"Sanders, Lawrence",The Tomorrow File,Berkely Books,Poor,No Jacket,Soft Cover,Novel,425032000,1975,NULL,551,NULL
"Wambaugh, Joseph",The Choirboys,A Dell Book,Good,No Jacket,Soft Cover,Novel,44001188225,1975,NULL,383,NULL
"Wambaugh, Joseph",The Choirboys,A Dell Book,Poor,No Jacket,Soft Cover,Novel,NULL,1975,NULL,383,NULL
"Barnes M.D.,Broda O., & Galton, Lawrence",Hypothyroidism: The Unsuspected Illness,Doubledaiy & Co.,Very Good,Good,Hard Cover,Health,069001029,1976,NULL,308,NULL
"Bigge, Morris L.",Learning Theories for Teachers,Harper & Row,Good,No Jacket,Soft Cover,Education,60406720,1976,NULL,386,NULL
"Blish, James",The Star Trek Reader,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Novel,NULL,1976,NULL,372,NULL
"Brown, Anthony Cave",The Secret War Report of the WSS,Berkley Medalion,Fair,No Jacket,Soft Cover,Historical,425032531,1976,NULL,572,NULL
"Carr, John Dickson",The Life of Sir Arthur Conan Doyle,Carroll & Graf Publishes,Very Good,No Jacket,Soft Cover,Biography,881843725,1976,NULL,394,NULL
Crafts Advisory Committee,Crafts - Men of Quality,Hazel Watson and Vinney Alesbury,Good,No Jacket,Soft Cover,Education,0903978085,1976,NULL,190,NULL
"Dills, Lanie",The Official CB Slanguage Language Dictionary,Louis J. Martin & Assoc.,Poor,No Jacket,Soft Cover,Paperback,916744000,1976,NULL,126,NULL
"Goldman, William",Marathon Man,Dell,Fair,No Jacket,Soft Cover,Mystery,NULL,1976,NULL,263,NULL
"Haley, Alex",Roots,A Dell Book,Very Good,No Jacket,Soft Cover,Novel,440174643,1976,NULL,729,NULL
"Hamilton, Jane",The Book of Ruth,Anchor Books,Good,No Jacket,Soft Cover,Novel,38526570,1976,NULL,328,NULL
"Heller, Joseph",Good as Gold,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671823884,1976,NULL,488,NULL
"Herbert, James",The Survivor,A Signet Book,Poor,No Jacket,Soft Cover,Novel,NULL,1976,NULL,206,NULL
Heritage of America Library,Cheapest Supply House on Earth,Bantam Book,As New,No Jacket,Soft Cover,Historical,NULL,1976,NULL,319,NULL
Heritage of America Library,Poor Richards Almanac,Bantam Book,As New,No Jacket,Hard Cover,Historical,NULL,1976,NULL,60,NULL
Heritage of America Library,The American Heritage Cookbook,Bantam Book,As New,No Jacket,Hard Cover,Historical,NULL,1976,NULL,126,NULL
"Higgins, Jack",Storm Warning,Bantam Book,Good,No Jacket,Soft Cover,Novel,055314054,1976,NULL,276,NULL
"Levinson, Leonard Louis",The Left Handed Dictionary,"Collier Books, New York",Very Good,No Jacket,Soft Cover,Humor,NULL,1976,NULL,255,NULL
"London, Jack",White Fang,Andor Publishing,Good,No Jacket,Soft Cover,Novel,893190055,1976,NULL,317,NULL
"Lucas, George",Star Wars,Ballantine Books,Very Good,No Jacket,Soft Cover,Fantasy,345260791,1976,NULL,220,Made into a Movie
"Lucas, George",Star Wars: From The Adventures of Luke Skywalker,Del Ray,Very Good,No Jacket,Soft Cover,Fantasy,345260791,1976,1,220,NULL
"Maclean, Norman",A River Runs Through It,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671776975,1976,NULL,237,NULL
"McClelland, Carol",Yur Dream Career for Dummies,Wiley Publishing,Very Good,No Jacket,Soft Cover,Self Help,764597957,1976,NULL,NULL,NULL
National Geographic,Clues to Americas Past,National Geographic,Very Good,Very Good,Hard Cover,Education,NULL,1976,NULL,199,NULL
